Length,Height,Weight,Age
1.525,0.4,30.4190135,8.0
1.7,0.475,40.78075575,10.0
1.175,0.3375,13.05494475,8.0
1.5625,0.4625,36.7126025,17.0
1.45,0.4,30.7025085,13.0
1.3,0.375,22.92057075,12.0
1.1,0.3375,12.74310025,8.0
1.125,0.25,12.984071,7.0
1.0,0.225,8.901743,7.0
0.8875,0.2,5.51397775,7.0
1.25,0.3,15.87572,7.0
0.85,0.225,5.03203625,6.0
1.35,0.3125,24.5790165,14.0
1.0875,0.275,10.2908685,11.0
1.2375,0.3625,26.80445225,10.0
1.1375,0.3,13.25339125,14.0
0.725,0.2,3.01922175,7.0
0.9625,0.2375,8.0229085,7.0
1.475,0.3375,29.086587,10.0
1.2875,0.3125,18.9658155,8.0
1.6125,0.525,47.173568,11.0
1.425,0.4125,25.7696955,8.0
1.1,0.325,12.303683,7.0
1.475,0.375,28.27862625,9.0
1.4875,0.4,31.99241075,10.0
1.275,0.35,17.16562225,9.0
1.2625,0.3,16.839603,8.0
1.275,0.35,18.4555245,8.0
1.7375,0.5,50.6605565,12.0
1.4375,0.3125,24.8058125,8.0
1.5625,0.425,32.31843,10.0
1.5,0.4375,25.51455,19.0
1.3,0.3875,19.8729995,8.0
1.5625,0.4375,32.04910975,10.0
1.625,0.4625,37.874932,18.0
1.3,0.3625,16.839603,10.0
1.2625,0.3125,18.75319425,8.0
0.9125,0.2375,6.7188315,7.0
1.4,0.3875,26.08154,10.0
0.925,0.25,7.52679225,7.0
1.1375,0.3375,14.571643,10.0
1.6125,0.5,41.7588135,22.0
1.1625,0.3,14.64251675,8.0
1.2125,0.3,16.71203025,8.0
0.9125,0.2125,6.08096775,6.0
1.1,0.2625,10.4609655,6.0
1.4875,0.375,24.93338525,9.0
1.5,0.3625,31.127751,9.0
1.575,0.4375,33.89182725,13.0
1.525,0.4375,29.18581025,10.0
1.6625,0.4625,45.71356875,11.0
1.4375,0.3875,24.76328825,10.0
0.4875,0.1,1.06310625,4.0
1.7375,0.4,44.80638475,8.0
